id_orig,area_km2,ppl_per_km2,dwellings_per_km2,U7B001,U7B003,U7B004,U7C002,U7G001
482150213072011,0.06410562259193028,1544.3263164323791,296.3858587092445,99,41,0,87,19
482150213072012,0.03260891092564975,1563.9896749781992,643.995748520435,51,22,0,51,21
482150213073000,0.007682592591133161,650.8219641596944,260.3287856638778,5,0,0,5,2
482150213073013,0.028488002135721363,2878.4047266403236,702.0499333269081,82,21,0,82,20
482150213073014,0.029334162814170284,2488.5659925749205,886.3385726979169,73,22,0,72,26
482150213073015,0.029158654322395436,3532.39895302337,891.673522122404,103,35,0,101,26
482150213121000,0.05880720961655092,2397.665199885907,578.1604028093676,141,30,0,139,34
482150213121001,0.018490673073687,4218.34292830569,811.2197939049405,78,29,0,77,15
482150213121002,0.02812801342105674,2595.2774875083046,782.1384208929137,73,15,0,71,22
482150213121004,0.02742275312813566,4448.860383563326,1057.5159928142332,122,39,0,122,29
482150213121005,0.0277826657846851,4283.246284652695,827.8543239244705,119,45,0,119,23
482150213121006,0.026291006023241543,3651.438819615154,874.8238838661306,96,33,0,95,23
482150213121007,0.028510598318741524,3717.91566121994,841.7922251818732,106,22,0,99,24
482150213121008,0.026396011950539724,2765.569288905681,757.6902161385427,73,29,0,70,20
482150213123005,0.08557599785989806,3564.0834769970784,923.1560481402269,305,81,0,303,79
482150213123006,0.019907404232256808,2561.86087372268,853.9536245742266,51,15,1,50,17
482150213123007,0.02990371140740712,3745.354497109603,936.3386242774008,112,28,0,112,28
482150213123008,0.056528804489490825,2653.5144578882123,689.9137590509353,150,43,0,150,39
482150213123009,0.03110977476996836,4628.770251946972,1092.9040872652572,144,66,0,139,34
482150213123010,0.03163155945331436,5816.975298722442,1138.1038627935213,184,40,0,176,36
482150213123011,0.030935069858973107,4267.001839716607,1099.0762314421563,132,14,0,132,34
482150213123012,0.03029959290430617,5016.569050285749,1122.1272875639174,152,59,0,151,34
482150213123013,0.02997030779266238,3937.2301684832846,1034.357078160863,118,26,0,118,31
482150213123014,0.028371119866242422,4899.348374520462,1127.9075394579481,139,41,0,139,32
482150213123015,0.030467802093924478,3676.011799431167,919.0029498577918,112,12,0,112,28
